,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
5510,1.0,0.0,1.0,3.0,0.0,1.0,4.0,0.75,0.0,0.25,tangun
5511,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,Homer
5512,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3I
5513,1.0,1.0,1.0,14.0,4.0,6.0,24.0,0.5833333333333334,0.16666666666666666,0.25,getting
5514,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,disinflation
5515,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,exit
5516,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.3333333333333333,0.0,0.6666666666666666,Mina
5517,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,colour
5518,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bias
5519,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,recuperate
5520,1.0,1.0,0.0,1.0,3.0,0.0,4.0,0.25,0.75,0.0,letter
5521,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bartender
5522,1.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,yon
5523,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Calonyction
5524,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,reaper
5525,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,bae
5526,1.0,1.0,1.0,3.0,46.0,7.0,56.0,0.05357142857142857,0.8214285714285714,0.125,Ind
5527,1.0,0.0,1.0,3.0,0.0,8.0,11.0,0.2727272727272727,0.0,0.7272727272727273,O
5528,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,carving
5529,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,aspect
5530,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,criminal
5531,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Ibo
5532,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,blues
5533,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,kra
5534,1.0,1.0,1.0,14.0,1.0,1.0,16.0,0.875,0.0625,0.0625,already
5535,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,insist
5536,1.0,1.0,1.0,191.0,739.0,265.0,1195.0,0.1598326359832636,0.6184100418410042,0.2217573221757322,.
5537,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Pondo
5538,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,compassion
5539,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,gesture
5540,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,spin
5541,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,epic
5542,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,bicycle
5543,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,'unfortunate
5544,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Noel
5545,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3yr
5546,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Mutazala
5547,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,39
5548,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,gin
5549,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Jerseyite
5550,1.0,0.0,1.0,1.0,0.0,6.0,7.0,0.14285714285714285,0.0,0.8571428571428571,Folliculina
5551,1.0,1.0,1.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2,address
5552,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,lamp
5553,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,49yr-old
5554,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,argument
5555,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,29
