,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
66,1.0,1.0,0.0,1.0,24.0,0.0,25.0,0.04,0.96,0.0,Aptera
67,1.0,1.0,1.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2,carse
68,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666,session
69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Phlomis
70,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,908sq
71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Kurd
72,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,map
73,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,footpath
74,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,reactor
75,1.0,1.0,1.0,3.0,3.0,3.0,9.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,team
76,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,Dada
77,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Magellan
78,1.0,1.0,1.0,17.0,8.0,13.0,38.0,0.4473684210526316,0.21052631578947367,0.34210526315789475,talk
79,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,purchase
80,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,cow
81,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tete
82,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,reading
83,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,Dehaites
84,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,surround
85,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,widen
86,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,leer
87,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Savara
88,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,frustration
89,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Anacharis
90,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Gujrati
91,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,shide
92,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,weaken
93,1.0,1.0,1.0,6.0,1.0,6.0,13.0,0.46153846153846156,0.07692307692307693,0.46153846153846156,nice
94,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,downhill
95,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,meddle
96,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,soldier
97,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,Sakalava
98,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Votish
99,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,randing
100,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,lighting
101,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,common
102,1.0,1.0,0.0,2.0,4.0,0.0,6.0,0.3333333333333333,0.6666666666666666,0.0,building
103,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Thoroughbred
104,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Meredithian
105,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Java
106,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,Arean
107,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,neutral
108,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,unite
109,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,patcher
110,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,taglike
111,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,shore
112,1.0,1.0,0.0,20.0,5.0,0.0,25.0,0.8,0.2,0.0,die
113,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,shadow
114,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,middleman
115,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,peacefully
116,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,draftee
117,1.0,0.0,1.0,7.0,0.0,9.0,16.0,0.4375,0.0,0.5625,favorite
118,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,edit
119,1.0,1.0,1.0,1.0,4.0,1.0,6.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,news
120,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Telegn
121,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Strad
